Tactic,Police Force,Force type - Output,Tactic - Output,health-condition,count
Irritant spray not stated,Kent,,,Physical and mental,0.0
Spit and bite guard,Kent,Other equipment,Spit and bite guard,Physical and mental,0.0
Shield,Kent,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,Kent,Less lethal weapons,Total: Less lethal weapons,Physical and mental,3.0
CED of which,Kent,,,Physical and mental,3.0
CED non-discharge,Kent,,,Physical and mental,2.0
CED discharge,Kent,,,Physical and mental,1.0
CED not stated,Kent,,,Physical and mental,0.0
"AEP, of which",Kent,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP drawn,Kent,,,Physical and mental,0.0
AEP used,Kent,,,Physical and mental,0.0
AEP not stated,Kent,,,Physical and mental,0.0
*Total Firearms,Kent,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,Kent,Other,Total: Other,Physical and mental,3.0
"Dog use, of which",Kent,Other,Total: Dog,Physical and mental,1.0
Dog deployed,Kent,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Kent,Other,Dog: bite,Physical and mental,1.0
Dog not stated,Kent,,,Physical and mental,0.0
Other / improvised,Kent,Other,Other / improvised,Physical and mental,2.0
*Total Not reported,Kent,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Kent,Excluded: Tactical Communication,Tactical Communication,Physical and mental,8.0
*Total Tactics,Lancashire,Total,Total: all,Physical and mental,64.0
*Total Restraint,Lancashire,Restraint,Total: Restraint,Physical and mental,26.0
"Handcuffing, of which",Lancashire,Restraint,Total: Handcuffing,Physical and mental,19.0
Compliant handcuffing,Lancashire,Restraint,Handcuffing: compliant,Physical and mental,
Non-compliant handcuffing,Lancashire,Restraint,Handcuffing: non-compliant,Physical and mental,
Handcuffing not stated,Lancashire,,,Physical and mental,19.0
Limb / Body restraints,Lancashire,Restraint,Limb / body restraints,Physical and mental,3.0
Ground restraint,Lancashire,Restraint,Ground restraint,Physical and mental,4.0
*Total Unarmed skills,Lancashire,Unarmed skills,Total: unarmed skills,Physical and mental,26.0
*Total Other equipment,Lancashire,Other equipment,Total: Other equipment,Physical and mental,4.0
"Baton, of which",Lancashire,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,Lancashire,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Lancashire,Other equipment,Baton: used,Physical and mental,0.0
Baton not stated,Lancashire,,,Physical and mental,0.0
"Irritant spray, of which",Lancashire,Other equipment,Total: Irritant spray,Physical and mental,4.0
Irritant spray - drawn,Lancashire,Other equipment,Irritant spray: drawn,Physical and mental,2.0
Irritant spray - used,Lancashire,Other equipment,Irritant spray: used,Physical and mental,2.0
Irritant spray not stated,Lancashire,,,Physical and mental,0.0
Spit and bite guard,Lancashire,Other equipment,Spit and bite guard,Physical and mental,0.0
Shield,Lancashire,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,Lancashire,Less lethal weapons,Total: Less lethal weapons,Physical and mental,5.0
CED of which,Lancashire,,,Physical and mental,5.0
CED non-discharge,Lancashire,,,Physical and mental,4.0
CED discharge,Lancashire,,,Physical and mental,1.0
CED not stated,Lancashire,,,Physical and mental,0.0
"AEP, of which",Lancashire,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP drawn,Lancashire,,,Physical and mental,0.0
AEP used,Lancashire,,,Physical and mental,0.0
AEP not stated,Lancashire,,,Physical and mental,0.0
*Total Firearms,Lancashire,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,Lancashire,Other,Total: Other,Physical and mental,3.0
"Dog use, of which",Lancashire,Other,Total: Dog,Physical and mental,0.0
Dog deployed,Lancashire,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Lancashire,Other,Dog: bite,Physical and mental,0.0
Dog not stated,Lancashire,,,Physical and mental,0.0
Other / improvised,Lancashire,Other,Other / improvised,Physical and mental,3.0
*Total Not reported,Lancashire,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Lancashire,Excluded: Tactical Communication,Tactical Communication,Physical and mental,31.0
*Total Tactics,Leicestershire,Total,Total: all,Physical and mental,58.0
*Total Restraint,Leicestershire,Restraint,Total: Restraint,Physical and mental,34.0
"Handcuffing, of which",Leicestershire,Restraint,Total: Handcuffing,Physical and mental,28.0
Compliant handcuffing,Leicestershire,Restraint,Handcuffing: compliant,Physical and mental,22.0
Non-compliant handcuffing,Leicestershire,Restraint,Handcuffing: non-compliant,Physical and mental,6.0
Handcuffing not stated,Leicestershire,,,Physical and mental,0.0
Limb / Body restraints,Leicestershire,Restraint,Limb / body restraints,Physical and mental,3.0
Ground restraint,Leicestershire,Restraint,Ground restraint,Physical and mental,3.0
*Total Unarmed skills,Leicestershire,Unarmed skills,Total: unarmed skills,Physical and mental,16.0
*Total Other equipment,Leicestershire,Other equipment,Total: Other equipment,Physical and mental,1.0
"Baton, of which",Leicestershire,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,Leicestershire,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Leicestershire,Other equipment,Baton: used,Physical and mental,0.0
Baton not stated,Leicestershire,,,Physical and mental,0.0
"Irritant spray, of which",Leicestershire,Other equipment,Total: Irritant spray,Physical and mental,1.0
Irritant spray - drawn,Leicestershire,Other equipment,Irritant spray: drawn,Physical and mental,0.0
Irritant spray - used,Leicestershire,Other equipment,Irritant spray: used,Physical and mental,1.0
Irritant spray not stated,Leicestershire,,,Physical and mental,0.0
Spit and bite guard,Leicestershire,Other equipment,Spit and bite guard,Physical and mental,0.0
Shield,Leicestershire,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,Leicestershire,Less lethal weapons,Total: Less lethal weapons,Physical and mental,4.0
CED of which,Leicestershire,,,Physical and mental,4.0
CED non-discharge,Leicestershire,,,Physical and mental,4.0
CED discharge,Leicestershire,,,Physical and mental,0.0
CED not stated,Leicestershire,,,Physical and mental,0.0
"AEP, of which",Leicestershire,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP drawn,Leicestershire,,,Physical and mental,0.0
AEP used,Leicestershire,,,Physical and mental,0.0
AEP not stated,Leicestershire,,,Physical and mental,0.0
*Total Firearms,Leicestershire,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,Leicestershire,Other,Total: Other,Physical and mental,3.0
"Dog use, of which",Leicestershire,Other,Total: Dog,Physical and mental,0.0
Dog deployed,Leicestershire,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Leicestershire,Other,Dog: bite,Physical and mental,0.0
Dog not stated,Leicestershire,,,Physical and mental,0.0
Other / improvised,Leicestershire,Other,Other / improvised,Physical and mental,3.0
*Total Not reported,Leicestershire,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Leicestershire,Excluded: Tactical Communication,Tactical Communication,Physical and mental,23.0
*Total Tactics,Lincolnshire,Total,Total: all,Physical and mental,44.0
*Total Restraint,Lincolnshire,Restraint,Total: Restraint,Physical and mental,17.0
"Handcuffing, of which",Lincolnshire,Restraint,Total: Handcuffing,Physical and mental,15.0
Compliant handcuffing,Lincolnshire,Restraint,Handcuffing: compliant,Physical and mental,4.0
Non-compliant handcuffing,Lincolnshire,Restraint,Handcuffing: non-compliant,Physical and mental,11.0
Handcuffing not stated,Lincolnshire,,,Physical and mental,0.0
Limb / Body restraints,Lincolnshire,Restraint,Limb / body restraints,Physical and mental,0.0
Ground restraint,Lincolnshire,Restraint,Ground restraint,Physical and mental,2.0
*Total Unarmed skills,Lincolnshire,Unarmed skills,Total: unarmed skills,Physical and mental,14.0
*Total Other equipment,Lincolnshire,Other equipment,Total: Other equipment,Physical and mental,2.0
"Baton, of which",Lincolnshire,Other equipment,Total: Baton,Physical and mental,1.0
Baton drawn,Lincolnshire,Other equipment,Baton: drawn,Physical and mental,1.0
Baton used,Lincolnshire,Other equipment,Baton: used,Physical and mental,0.0
Baton not stated,Lincolnshire,,,Physical and mental,0.0
"Irritant spray, of which",Lincolnshire,Other equipment,Total: Irritant spray,Physical and mental,1.0
Irritant spray - drawn,Lincolnshire,Other equipment,Irritant spray: drawn,Physical and mental,0.0
Irritant spray - used,Lincolnshire,Other equipment,Irritant spray: used,Physical and mental,1.0
Irritant spray not stated,Lincolnshire,,,Physical and mental,0.0
Spit and bite guard,Lincolnshire,Other equipment,Spit and bite guard,Physical and mental,0.0
Shield,Lincolnshire,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,Lincolnshire,Less lethal weapons,Total: Less lethal weapons,Physical and mental,7.0
CED of which,Lincolnshire,,,Physical and mental,7.0
CED non-discharge,Lincolnshire,,,Physical and mental,6.0
CED discharge,Lincolnshire,,,Physical and mental,1.0
CED not stated,Lincolnshire,,,Physical and mental,0.0
"AEP, of which",Lincolnshire,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP drawn,Lincolnshire,,,Physical and mental,0.0
AEP used,Lincolnshire,,,Physical and mental,0.0
AEP not stated,Lincolnshire,,,Physical and mental,0.0
*Total Firearms,Lincolnshire,Firearms,Total: Firearms,Physical and mental,1.0
*Total Other,Lincolnshire,Other,Total: Other,Physical and mental,3.0
"Dog use, of which",Lincolnshire,Other,Total: Dog,Physical and mental,1.0
Dog deployed,Lincolnshire,Other,Dog: deployed,Physical and mental,1.0
Dog bite,Lincolnshire,Other,Dog: bite,Physical and mental,0.0
Dog not stated,Lincolnshire,,,Physical and mental,0.0
Other / improvised,Lincolnshire,Other,Other / improvised,Physical and mental,2.0
*Total Not reported,Lincolnshire,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Lincolnshire,Excluded: Tactical Communication,Tactical Communication,Physical and mental,22.0
*Total Tactics,Merseyside,Total,Total: all,Physical and mental,66.0
*Total Restraint,Merseyside,Restraint,Total: Restraint,Physical and mental,28.0
"Handcuffing, of which",Merseyside,Restraint,Total: Handcuffing,Physical and mental,21.0
Compliant handcuffing,Merseyside,Restraint,Handcuffing: compliant,Physical and mental,6.0
Non-compliant handcuffing,Merseyside,Restraint,Handcuffing: non-compliant,Physical and mental,15.0
Handcuffing not stated,Merseyside,,,Physical and mental,0.0
Limb / Body restraints,Merseyside,Restraint,Limb / body restraints,Physical and mental,1.0
Ground restraint,Merseyside,Restraint,Ground restraint,Physical and mental,6.0
*Total Unarmed skills,Merseyside,Unarmed skills,Total: unarmed skills,Physical and mental,23.0
*Total Other equipment,Merseyside,Other equipment,Total: Other equipment,Physical and mental,6.0
"Baton, of which",Merseyside,Other equipment,Total: Baton,Physical and mental,0.0
Baton drawn,Merseyside,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Merseyside,Other equipment,Baton: used,Physical and mental,0.0
Baton not stated,Merseyside,,,Physical and mental,0.0
"Irritant spray, of which",Merseyside,Other equipment,Total: Irritant spray,Physical and mental,5.0
Irritant spray - drawn,Merseyside,Other equipment,Irritant spray: drawn,Physical and mental,3.0
Irritant spray - used,Merseyside,Other equipment,Irritant spray: used,Physical and mental,2.0
Irritant spray not stated,Merseyside,,,Physical and mental,0.0
Spit and bite guard,Merseyside,Other equipment,Spit and bite guard,Physical and mental,1.0
Shield,Merseyside,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,Merseyside,Less lethal weapons,Total: Less lethal weapons,Physical and mental,5.0
CED of which,Merseyside,,,Physical and mental,5.0
CED non-discharge,Merseyside,,,Physical and mental,5.0
CED discharge,Merseyside,,,Physical and mental,0.0
CED not stated,Merseyside,,,Physical and mental,0.0
"AEP, of which",Merseyside,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP drawn,Merseyside,,,Physical and mental,0.0
AEP used,Merseyside,,,Physical and mental,0.0
AEP not stated,Merseyside,,,Physical and mental,0.0
*Total Firearms,Merseyside,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,Merseyside,Other,Total: Other,Physical and mental,4.0
"Dog use, of which",Merseyside,Other,Total: Dog,Physical and mental,1.0
Dog deployed,Merseyside,Other,Dog: deployed,Physical and mental,1.0
Dog bite,Merseyside,Other,Dog: bite,Physical and mental,0.0
Dog not stated,Merseyside,,,Physical and mental,0.0
Other / improvised,Merseyside,Other,Other / improvised,Physical and mental,3.0
*Total Not reported,Merseyside,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Merseyside,Excluded: Tactical Communication,Tactical Communication,Physical and mental,33.0
*Total Tactics,Metropolitan,Total,Total: all,Physical and mental,858.0
*Total Restraint,Metropolitan,Restraint,Total: Restraint,Physical and mental,538.0
"Handcuffing, of which",Metropolitan,Restraint,Total: Handcuffing,Physical and mental,382.0
Compliant handcuffing,Metropolitan,Restraint,Handcuffing: compliant,Physical and mental,193.0
Non-compliant handcuffing,Metropolitan,Restraint,Handcuffing: non-compliant,Physical and mental,189.0
Handcuffing not stated,Metropolitan,,,Physical and mental,0.0
Limb / Body restraints,Metropolitan,Restraint,Limb / body restraints,Physical and mental,76.0
Ground restraint,Metropolitan,Restraint,Ground restraint,Physical and mental,80.0
*Total Unarmed skills,Metropolitan,Unarmed skills,Total: unarmed skills,Physical and mental,184.0
*Total Other equipment,Metropolitan,Other equipment,Total: Other equipment,Physical and mental,36.0
"Baton, of which",Metropolitan,Other equipment,Total: Baton,Physical and mental,5.0
Baton drawn,Metropolitan,Other equipment,Baton: drawn,Physical and mental,5.0
Baton used,Metropolitan,Other equipment,Baton: used,Physical and mental,0.0
Baton not stated,Metropolitan,,,Physical and mental,0.0
"Irritant spray, of which",Metropolitan,Other equipment,Total: Irritant spray,Physical and mental,9.0
Irritant spray - drawn,Metropolitan,Other equipment,Irritant spray: drawn,Physical and mental,4.0
Irritant spray - used,Metropolitan,Other equipment,Irritant spray: used,Physical and mental,5.0
Irritant spray not stated,Metropolitan,,,Physical and mental,0.0
Spit and bite guard,Metropolitan,Other equipment,Spit and bite guard,Physical and mental,20.0
Shield,Metropolitan,Other equipment,Shield,Physical and mental,2.0
*Total Less lethal weapons,Metropolitan,Less lethal weapons,Total: Less lethal weapons,Physical and mental,39.0
CED of which,Metropolitan,,,Physical and mental,39.0
CED non-discharge,Metropolitan,,,Physical and mental,28.0
CED discharge,Metropolitan,,,Physical and mental,11.0
CED not stated,Metropolitan,,,Physical and mental,0.0
"AEP, of which",Metropolitan,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP drawn,Metropolitan,,,Physical and mental,0.0
AEP used,Metropolitan,,,Physical and mental,0.0
AEP not stated,Metropolitan,,,Physical and mental,0.0
*Total Firearms,Metropolitan,Firearms,Total: Firearms,Physical and mental,5.0
*Total Other,Metropolitan,Other,Total: Other,Physical and mental,56.0
"Dog use, of which",Metropolitan,Other,Total: Dog,Physical and mental,0.0
Dog deployed,Metropolitan,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Metropolitan,Other,Dog: bite,Physical and mental,0.0
Dog not stated,Metropolitan,,,Physical and mental,0.0
Other / improvised,Metropolitan,Other,Other / improvised,Physical and mental,56.0
