Tactic,Police Force,Force type - Output,Tactic - Output,age,count
"Dog use, of which",West Yorkshire,Other,Total: Dog,35 - 49 years,10.0
Dog deployed,West Yorkshire,Other,Dog: deployed,35 - 49 years,8.0
Dog bite,West Yorkshire,Other,Dog: bite,35 - 49 years,2.0
Dog not stated,West Yorkshire,,,35 - 49 years,0.0
Other / improvised,West Yorkshire,Other,Other / improvised,35 - 49 years,76.0
*Total Not reported,West Yorkshire,Not reported,Total: Not reported,35 - 49 years,0.0
Tactical communication,West Yorkshire,Excluded: Tactical Communication,Tactical Communication,35 - 49 years,3091.0
*Total Tactics,Wiltshire,Total,Total: all,35 - 49 years,711.0
*Total Restraint,Wiltshire,Restraint,Total: Restraint,35 - 49 years,550.0
"Handcuffing, of which",Wiltshire,Restraint,Total: Handcuffing,35 - 49 years,508.0
Compliant handcuffing,Wiltshire,Restraint,Handcuffing: compliant,35 - 49 years,228.0
Non-compliant handcuffing,Wiltshire,Restraint,Handcuffing: non-compliant,35 - 49 years,280.0
Handcuffing not stated,Wiltshire,,,35 - 49 years,0.0
Limb / Body restraints,Wiltshire,Restraint,Limb / body restraints,35 - 49 years,42.0
Ground restraint,Wiltshire,Restraint,Ground restraint,35 - 49 years,0.0
*Total Unarmed skills,Wiltshire,Unarmed skills,Total: unarmed skills,35 - 49 years,32.0
*Total Other equipment,Wiltshire,Other equipment,Total: Other equipment,35 - 49 years,35.0
"Baton, of which",Wiltshire,Other equipment,Total: Baton,35 - 49 years,3.0
Baton drawn,Wiltshire,Other equipment,Baton: drawn,35 - 49 years,3.0
Baton used,Wiltshire,Other equipment,Baton: used,35 - 49 years,0.0
Baton not stated,Wiltshire,,,35 - 49 years,0.0
"Irritant spray, of which",Wiltshire,Other equipment,Total: Irritant spray,35 - 49 years,14.0
Irritant spray - drawn,Wiltshire,Other equipment,Irritant spray: drawn,35 - 49 years,12.0
Irritant spray - used,Wiltshire,Other equipment,Irritant spray: used,35 - 49 years,2.0
Irritant spray not stated,Wiltshire,,,35 - 49 years,0.0
Spit and bite guard,Wiltshire,Other equipment,Spit and bite guard,35 - 49 years,18.0
Shield,Wiltshire,Other equipment,Shield,35 - 49 years,0.0
*Total Less lethal weapons,Wiltshire,Less lethal weapons,Total: Less lethal weapons,35 - 49 years,69.0
CED of which,Wiltshire,,,35 - 49 years,69.0
CED non-discharge,Wiltshire,,,35 - 49 years,63.0
CED discharge,Wiltshire,,,35 - 49 years,6.0
CED not stated,Wiltshire,,,35 - 49 years,0.0
"AEP, of which",Wiltshire,Less lethal weapons,Total: AEP,35 - 49 years,0.0
AEP drawn,Wiltshire,,,35 - 49 years,0.0
AEP used,Wiltshire,,,35 - 49 years,0.0
AEP not stated,Wiltshire,,,35 - 49 years,0.0
*Total Firearms,Wiltshire,Firearms,Total: Firearms,35 - 49 years,0.0
*Total Other,Wiltshire,Other,Total: Other,35 - 49 years,25.0
"Dog use, of which",Wiltshire,Other,Total: Dog,35 - 49 years,0.0
Dog deployed,Wiltshire,Other,Dog: deployed,35 - 49 years,0.0
Dog bite,Wiltshire,Other,Dog: bite,35 - 49 years,0.0
Dog not stated,Wiltshire,,,35 - 49 years,0.0
Other / improvised,Wiltshire,Other,Other / improvised,35 - 49 years,25.0
*Total Not reported,Wiltshire,Not reported,Total: Not reported,35 - 49 years,0.0
Tactical communication,Wiltshire,Excluded: Tactical Communication,Tactical Communication,35 - 49 years,89.0
*Total Tactics,Avon & Somerset,Total,Total: all,50 - 64 years,1623.0
*Total Restraint,Avon & Somerset,Restraint,Total: Restraint,50 - 64 years,735.0
"Handcuffing, of which",Avon & Somerset,Restraint,Total: Handcuffing,50 - 64 years,592.0
Compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: compliant,50 - 64 years,
Non-compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: non-compliant,50 - 64 years,
Handcuffing not stated,Avon & Somerset,,,50 - 64 years,592.0
Limb / Body restraints,Avon & Somerset,Restraint,Limb / body restraints,50 - 64 years,48.0
Ground restraint,Avon & Somerset,Restraint,Ground restraint,50 - 64 years,95.0
*Total Unarmed skills,Avon & Somerset,Unarmed skills,Total: unarmed skills,50 - 64 years,627.0
*Total Other equipment,Avon & Somerset,Other equipment,Total: Other equipment,50 - 64 years,77.0
"Baton, of which",Avon & Somerset,Other equipment,Total: Baton,50 - 64 years,2.0
Baton drawn,Avon & Somerset,Other equipment,Baton: drawn,50 - 64 years,
Baton used,Avon & Somerset,Other equipment,Baton: used,50 - 64 years,
Baton not stated,Avon & Somerset,,,50 - 64 years,2.0
"Irritant spray, of which",Avon & Somerset,Other equipment,Total: Irritant spray,50 - 64 years,53.0
Irritant spray - drawn,Avon & Somerset,Other equipment,Irritant spray: drawn,50 - 64 years,
Irritant spray - used,Avon & Somerset,Other equipment,Irritant spray: used,50 - 64 years,
Irritant spray not stated,Avon & Somerset,,,50 - 64 years,53.0
Spit and bite guard,Avon & Somerset,Other equipment,Spit and bite guard,50 - 64 years,22.0
Shield,Avon & Somerset,Other equipment,Shield,50 - 64 years,0.0
*Total Less lethal weapons,Avon & Somerset,Less lethal weapons,Total: Less lethal weapons,50 - 64 years,87.0
CED of which,Avon & Somerset,,,50 - 64 years,87.0
CED non-discharge,Avon & Somerset,,,50 - 64 years,69.0
CED discharge,Avon & Somerset,,,50 - 64 years,11.0
CED not stated,Avon & Somerset,,,50 - 64 years,7.0
"AEP, of which",Avon & Somerset,Less lethal weapons,Total: AEP,50 - 64 years,0.0
AEP drawn,Avon & Somerset,,,50 - 64 years,0.0
AEP used,Avon & Somerset,,,50 - 64 years,0.0
AEP not stated,Avon & Somerset,,,50 - 64 years,0.0
*Total Firearms,Avon & Somerset,Firearms,Total: Firearms,50 - 64 years,3.0
*Total Other,Avon & Somerset,Other,Total: Other,50 - 64 years,94.0
"Dog use, of which",Avon & Somerset,Other,Total: Dog,50 - 64 years,0.0
Dog deployed,Avon & Somerset,Other,Dog: deployed,50 - 64 years,
Dog bite,Avon & Somerset,Other,Dog: bite,50 - 64 years,
Dog not stated,Avon & Somerset,,,50 - 64 years,0.0
Other / improvised,Avon & Somerset,Other,Other / improvised,50 - 64 years,94.0
*Total Not reported,Avon & Somerset,Not reported,Total: Not reported,50 - 64 years,11.0
Tactical communication,Avon & Somerset,Excluded: Tactical Communication,Tactical Communication,50 - 64 years,194.0
*Total Tactics,Bedfordshire,Total,Total: all,50 - 64 years,451.0
*Total Restraint,Bedfordshire,Restraint,Total: Restraint,50 - 64 years,288.0
"Handcuffing, of which",Bedfordshire,Restraint,Total: Handcuffing,50 - 64 years,224.0
Compliant handcuffing,Bedfordshire,Restraint,Handcuffing: compliant,50 - 64 years,137.0
Non-compliant handcuffing,Bedfordshire,Restraint,Handcuffing: non-compliant,50 - 64 years,87.0
Handcuffing not stated,Bedfordshire,,,50 - 64 years,0.0
Limb / Body restraints,Bedfordshire,Restraint,Limb / body restraints,50 - 64 years,31.0
Ground restraint,Bedfordshire,Restraint,Ground restraint,50 - 64 years,33.0
*Total Unarmed skills,Bedfordshire,Unarmed skills,Total: unarmed skills,50 - 64 years,124.0
*Total Other equipment,Bedfordshire,Other equipment,Total: Other equipment,50 - 64 years,17.0
"Baton, of which",Bedfordshire,Other equipment,Total: Baton,50 - 64 years,1.0
Baton drawn,Bedfordshire,Other equipment,Baton: drawn,50 - 64 years,1.0
Baton used,Bedfordshire,Other equipment,Baton: used,50 - 64 years,0.0
Baton not stated,Bedfordshire,,,50 - 64 years,0.0
"Irritant spray, of which",Bedfordshire,Other equipment,Total: Irritant spray,50 - 64 years,11.0
Irritant spray - drawn,Bedfordshire,Other equipment,Irritant spray: drawn,50 - 64 years,6.0
Irritant spray - used,Bedfordshire,Other equipment,Irritant spray: used,50 - 64 years,5.0
Irritant spray not stated,Bedfordshire,,,50 - 64 years,0.0
Spit and bite guard,Bedfordshire,Other equipment,Spit and bite guard,50 - 64 years,4.0
Shield,Bedfordshire,Other equipment,Shield,50 - 64 years,1.0
*Total Less lethal weapons,Bedfordshire,Less lethal weapons,Total: Less lethal weapons,50 - 64 years,12.0
CED of which,Bedfordshire,,,50 - 64 years,12.0
CED non-discharge,Bedfordshire,,,50 - 64 years,10.0
CED discharge,Bedfordshire,,,50 - 64 years,2.0
CED not stated,Bedfordshire,,,50 - 64 years,0.0
"AEP, of which",Bedfordshire,Less lethal weapons,Total: AEP,50 - 64 years,0.0
AEP drawn,Bedfordshire,,,50 - 64 years,0.0
AEP used,Bedfordshire,,,50 - 64 years,0.0
AEP not stated,Bedfordshire,,,50 - 64 years,0.0
*Total Firearms,Bedfordshire,Firearms,Total: Firearms,50 - 64 years,0.0
*Total Other,Bedfordshire,Other,Total: Other,50 - 64 years,10.0
"Dog use, of which",Bedfordshire,Other,Total: Dog,50 - 64 years,0.0
Dog deployed,Bedfordshire,Other,Dog: deployed,50 - 64 years,0.0
Dog bite,Bedfordshire,Other,Dog: bite,50 - 64 years,0.0
Dog not stated,Bedfordshire,,,50 - 64 years,0.0
Other / improvised,Bedfordshire,Other,Other / improvised,50 - 64 years,10.0
*Total Not reported,Bedfordshire,Not reported,Total: Not reported,50 - 64 years,1.0
Tactical communication,Bedfordshire,Excluded: Tactical Communication,Tactical Communication,50 - 64 years,253.0
*Total Tactics,Cambridgeshire,Total,Total: all,50 - 64 years,528.0
*Total Restraint,Cambridgeshire,Restraint,Total: Restraint,50 - 64 years,252.0
"Handcuffing, of which",Cambridgeshire,Restraint,Total: Handcuffing,50 - 64 years,198.0
Compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: compliant,50 - 64 years,95.0
Non-compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: non-compliant,50 - 64 years,103.0
Handcuffing not stated,Cambridgeshire,,,50 - 64 years,0.0
Limb / Body restraints,Cambridgeshire,Restraint,Limb / body restraints,50 - 64 years,21.0
Ground restraint,Cambridgeshire,Restraint,Ground restraint,50 - 64 years,33.0
*Total Unarmed skills,Cambridgeshire,Unarmed skills,Total: unarmed skills,50 - 64 years,166.0
*Total Other equipment,Cambridgeshire,Other equipment,Total: Other equipment,50 - 64 years,65.0
"Baton, of which",Cambridgeshire,Other equipment,Total: Baton,50 - 64 years,6.0
Baton drawn,Cambridgeshire,Other equipment,Baton: drawn,50 - 64 years,4.0
Baton used,Cambridgeshire,Other equipment,Baton: used,50 - 64 years,2.0
Baton not stated,Cambridgeshire,,,50 - 64 years,0.0
"Irritant spray, of which",Cambridgeshire,Other equipment,Total: Irritant spray,50 - 64 years,51.0
Irritant spray - drawn,Cambridgeshire,Other equipment,Irritant spray: drawn,50 - 64 years,30.0
Irritant spray - used,Cambridgeshire,Other equipment,Irritant spray: used,50 - 64 years,21.0
Irritant spray not stated,Cambridgeshire,,,50 - 64 years,0.0
Spit and bite guard,Cambridgeshire,Other equipment,Spit and bite guard,50 - 64 years,6.0
Shield,Cambridgeshire,Other equipment,Shield,50 - 64 years,2.0
*Total Less lethal weapons,Cambridgeshire,Less lethal weapons,Total: Less lethal weapons,50 - 64 years,12.0
CED of which,Cambridgeshire,,,50 - 64 years,12.0
CED non-discharge,Cambridgeshire,,,50 - 64 years,12.0
CED discharge,Cambridgeshire,,,50 - 64 years,0.0
CED not stated,Cambridgeshire,,,50 - 64 years,0.0
"AEP, of which",Cambridgeshire,Less lethal weapons,Total: AEP,50 - 64 years,0.0
AEP drawn,Cambridgeshire,,,50 - 64 years,0.0
AEP used,Cambridgeshire,,,50 - 64 years,0.0
AEP not stated,Cambridgeshire,,,50 - 64 years,0.0
*Total Firearms,Cambridgeshire,Firearms,Total: Firearms,50 - 64 years,0.0
*Total Other,Cambridgeshire,Other,Total: Other,50 - 64 years,33.0
"Dog use, of which",Cambridgeshire,Other,Total: Dog,50 - 64 years,0.0
Dog deployed,Cambridgeshire,Other,Dog: deployed,50 - 64 years,0.0
Dog bite,Cambridgeshire,Other,Dog: bite,50 - 64 years,0.0
Dog not stated,Cambridgeshire,,,50 - 64 years,0.0
Other / improvised,Cambridgeshire,Other,Other / improvised,50 - 64 years,33.0
*Total Not reported,Cambridgeshire,Not reported,Total: Not reported,50 - 64 years,2.0
Tactical communication,Cambridgeshire,Excluded: Tactical Communication,Tactical Communication,50 - 64 years,282.0
*Total Tactics,Cheshire,Total,Total: all,50 - 64 years,927.0
*Total Restraint,Cheshire,Restraint,Total: Restraint,50 - 64 years,699.0
"Handcuffing, of which",Cheshire,Restraint,Total: Handcuffing,50 - 64 years,511.0
Compliant handcuffing,Cheshire,Restraint,Handcuffing: compliant,50 - 64 years,306.0
Non-compliant handcuffing,Cheshire,Restraint,Handcuffing: non-compliant,50 - 64 years,205.0
Handcuffing not stated,Cheshire,,,50 - 64 years,0.0
Limb / Body restraints,Cheshire,Restraint,Limb / body restraints,50 - 64 years,14.0
Ground restraint,Cheshire,Restraint,Ground restraint,50 - 64 years,174.0
*Total Unarmed skills,Cheshire,Unarmed skills,Total: unarmed skills,50 - 64 years,132.0
*Total Other equipment,Cheshire,Other equipment,Total: Other equipment,50 - 64 years,62.0
"Baton, of which",Cheshire,Other equipment,Total: Baton,50 - 64 years,2.0
Baton drawn,Cheshire,Other equipment,Baton: drawn,50 - 64 years,1.0
Baton used,Cheshire,Other equipment,Baton: used,50 - 64 years,1.0
Baton not stated,Cheshire,,,50 - 64 years,0.0
"Irritant spray, of which",Cheshire,Other equipment,Total: Irritant spray,50 - 64 years,53.0
Irritant spray - drawn,Cheshire,Other equipment,Irritant spray: drawn,50 - 64 years,22.0
Irritant spray - used,Cheshire,Other equipment,Irritant spray: used,50 - 64 years,31.0
Irritant spray not stated,Cheshire,,,50 - 64 years,0.0
Spit and bite guard,Cheshire,Other equipment,Spit and bite guard,50 - 64 years,7.0
Shield,Cheshire,Other equipment,Shield,50 - 64 years,0.0
*Total Less lethal weapons,Cheshire,Less lethal weapons,Total: Less lethal weapons,50 - 64 years,30.0
CED of which,Cheshire,,,50 - 64 years,30.0
CED non-discharge,Cheshire,,,50 - 64 years,25.0
CED discharge,Cheshire,,,50 - 64 years,5.0
CED not stated,Cheshire,,,50 - 64 years,0.0
"AEP, of which",Cheshire,Less lethal weapons,Total: AEP,50 - 64 years,0.0
AEP drawn,Cheshire,,,50 - 64 years,0.0
AEP used,Cheshire,,,50 - 64 years,0.0
AEP not stated,Cheshire,,,50 - 64 years,0.0
*Total Firearms,Cheshire,Firearms,Total: Firearms,50 - 64 years,2.0
*Total Other,Cheshire,Other,Total: Other,50 - 64 years,2.0
"Dog use, of which",Cheshire,Other,Total: Dog,50 - 64 years,2.0
Dog deployed,Cheshire,Other,Dog: deployed,50 - 64 years,2.0
Dog bite,Cheshire,Other,Dog: bite,50 - 64 years,0.0
Dog not stated,Cheshire,,,50 - 64 years,0.0
Other / improvised,Cheshire,Other,Other / improvised,50 - 64 years,0.0
*Total Not reported,Cheshire,Not reported,Total: Not reported,50 - 64 years,0.0
Tactical communication,Cheshire,Excluded: Tactical Communication,Tactical Communication,50 - 64 years,373.0
*Total Tactics,City of London,Total,Total: all,50 - 64 years,222.0
*Total Restraint,City of London,Restraint,Total: Restraint,50 - 64 years,136.0
"Handcuffing, of which",City of London,Restraint,Total: Handcuffing,50 - 64 years,121.0
Compliant handcuffing,City of London,Restraint,Handcuffing: compliant,50 - 64 years,52.0
Non-compliant handcuffing,City of London,Restraint,Handcuffing: non-compliant,50 - 64 years,69.0
Handcuffing not stated,City of London,,,50 - 64 years,0.0
Limb / Body restraints,City of London,Restraint,Limb / body restraints,50 - 64 years,5.0
Ground restraint,City of London,Restraint,Ground restraint,50 - 64 years,10.0
*Total Unarmed skills,City of London,Unarmed skills,Total: unarmed skills,50 - 64 years,55.0
*Total Other equipment,City of London,Other equipment,Total: Other equipment,50 - 64 years,5.0
"Baton, of which",City of London,Other equipment,Total: Baton,50 - 64 years,0.0
Baton drawn,City of London,Other equipment,Baton: drawn,50 - 64 years,0.0
Baton used,City of London,Other equipment,Baton: used,50 - 64 years,0.0
Baton not stated,City of London,,,50 - 64 years,0.0
"Irritant spray, of which",City of London,Other equipment,Total: Irritant spray,50 - 64 years,1.0
Irritant spray - drawn,City of London,Other equipment,Irritant spray: drawn,50 - 64 years,1.0
Irritant spray - used,City of London,Other equipment,Irritant spray: used,50 - 64 years,0.0
Irritant spray not stated,City of London,,,50 - 64 years,0.0
Spit and bite guard,City of London,Other equipment,Spit and bite guard,50 - 64 years,4.0
Shield,City of London,Other equipment,Shield,50 - 64 years,0.0
*Total Less lethal weapons,City of London,Less lethal weapons,Total: Less lethal weapons,50 - 64 years,4.0
CED of which,City of London,,,50 - 64 years,4.0
CED non-discharge,City of London,,,50 - 64 years,3.0
CED discharge,City of London,,,50 - 64 years,1.0
CED not stated,City of London,,,50 - 64 years,0.0
"AEP, of which",City of London,Less lethal weapons,Total: AEP,50 - 64 years,0.0
AEP drawn,City of London,,,50 - 64 years,0.0
AEP used,City of London,,,50 - 64 years,0.0
AEP not stated,City of London,,,50 - 64 years,0.0
*Total Firearms,City of London,Firearms,Total: Firearms,50 - 64 years,3.0
*Total Other,City of London,Other,Total: Other,50 - 64 years,19.0
"Dog use, of which",City of London,Other,Total: Dog,50 - 64 years,0.0
Dog deployed,City of London,Other,Dog: deployed,50 - 64 years,0.0
Dog bite,City of London,Other,Dog: bite,50 - 64 years,0.0
Dog not stated,City of London,,,50 - 64 years,0.0
Other / improvised,City of London,Other,Other / improvised,50 - 64 years,19.0
*Total Not reported,City of London,Not reported,Total: Not reported,50 - 64 years,0.0
Tactical communication,City of London,Excluded: Tactical Communication,Tactical Communication,50 - 64 years,122.0
*Total Tactics,Cleveland,Total,Total: all,50 - 64 years,622.0
*Total Restraint,Cleveland,Restraint,Total: Restraint,50 - 64 years,543.0
"Handcuffing, of which",Cleveland,Restraint,Total: Handcuffing,50 - 64 years,523.0
Compliant handcuffing,Cleveland,Restraint,Handcuffing: compliant,50 - 64 years,20.0
Non-compliant handcuffing,Cleveland,Restraint,Handcuffing: non-compliant,50 - 64 years,11.0
Handcuffing not stated,Cleveland,,,50 - 64 years,492.0
Limb / Body restraints,Cleveland,Restraint,Limb / body restraints,50 - 64 years,2.0
Ground restraint,Cleveland,Restraint,Ground restraint,50 - 64 years,18.0
*Total Unarmed skills,Cleveland,Unarmed skills,Total: unarmed skills,50 - 64 years,30.0
*Total Other equipment,Cleveland,Other equipment,Total: Other equipment,50 - 64 years,9.0
"Baton, of which",Cleveland,Other equipment,Total: Baton,50 - 64 years,3.0
Baton drawn,Cleveland,Other equipment,Baton: drawn,50 - 64 years,1.0
Baton used,Cleveland,Other equipment,Baton: used,50 - 64 years,0.0
Baton not stated,Cleveland,,,50 - 64 years,2.0
"Irritant spray, of which",Cleveland,Other equipment,Total: Irritant spray,50 - 64 years,6.0
Irritant spray - drawn,Cleveland,Other equipment,Irritant spray: drawn,50 - 64 years,2.0
