Tactic,Police Force,Force type - Output,Tactic - Output,Disability,count
Baton drawn,Wiltshire,Other equipment,Baton: drawn,Physical and mental,0.0
Baton used,Wiltshire,Other equipment,Baton: used,Physical and mental,0.0
Not stated baton,Wiltshire,Other equipment,Baton: not stated,Physical and mental,0.0
"Irritant spray, of which",Wiltshire,Other equipment,Total: Irritant spray,Physical and mental,1.0
Irritant spray - drawn,Wiltshire,Other equipment,Irritant spray: drawn,Physical and mental,0.0
Irritant spray - used,Wiltshire,Other equipment,Irritant spray: used,Physical and mental,1.0
Not stated irritant spray,Wiltshire,Other equipment,Irritant spray: not stated,Physical and mental,0.0
Spit and bite guard,Wiltshire,Other equipment,Spit and bite guard,Physical and mental,0.0
Shield,Wiltshire,Other equipment,Shield,Physical and mental,0.0
*Total Less lethal weapons,Wiltshire,Less lethal weapons,Total: Less lethal weapons,Physical and mental,3.0
CED,Wiltshire,Less lethal weapons,CED,Physical and mental,3.0
"AEP, of which",Wiltshire,Less lethal weapons,Total: AEP,Physical and mental,0.0
AEP aimed,Wiltshire,Less lethal weapons,AEP: Aimed,Physical and mental,0.0
AEP fired,Wiltshire,Less lethal weapons,AEP: Fired,Physical and mental,0.0
Not stated AEP,Wiltshire,Less lethal weapons,AEP: Not stated,Physical and mental,0.0
*Total Firearms,Wiltshire,Firearms,Total: Firearms,Physical and mental,0.0
*Total Other,Wiltshire,Other,Total: Other,Physical and mental,0.0
"Dog use, of which",Wiltshire,Other,Total: Dog,Physical and mental,0.0
Dog deployed,Wiltshire,Other,Dog: deployed,Physical and mental,0.0
Dog bite,Wiltshire,Other,Dog: bite,Physical and mental,0.0
Not stated dog,Wiltshire,Other,Dog: not stated,Physical and mental,0.0
Other / improvised,Wiltshire,Other,Other / improvised,Physical and mental,0.0
*Total Not reported,Wiltshire,Not reported,Total: Not reported,Physical and mental,0.0
Tactical communication,Wiltshire,Excluded: Tactical Communication,Tactical Communication,Physical and mental,4.0
*Total Tactics,Total England and Wales,Total,Total: all,None,533976.0
*Total Restraint,Total England and Wales,Restraint,Total: Restraint,None,344652.0
"Handcuffing, of which",Total England and Wales,Restraint,Total: Handcuffing,None,264137.0
Compliant handcuffing,Total England and Wales,Restraint,Handcuffing: compliant,None,162297.0
Non-compliant handcuffing,Total England and Wales,Restraint,Handcuffing: non-compliant,None,93355.0
Not stated handcuffing,Total England and Wales,Restraint,Handcuffing: not stated,None,8485.0
Limb / Body restraints,Total England and Wales,Restraint,Limb / body restraints,None,23316.0
Ground restraint,Total England and Wales,Restraint,Ground restraint,None,57199.0
*Total Unarmed skills,Total England and Wales,Unarmed skills,Total: unarmed skills,None,118456.0
*Total Other equipment,Total England and Wales,Other equipment,Total: Other equipment,None,25392.0
"Baton, of which",Total England and Wales,Other equipment,Total: Baton,None,5931.0
Baton drawn,Total England and Wales,Other equipment,Baton: drawn,None,3643.0
Baton used,Total England and Wales,Other equipment,Baton: used,None,2087.0
Not stated baton,Total England and Wales,Other equipment,Baton: not stated,None,201.0
"Irritant spray, of which",Total England and Wales,Other equipment,Total: Irritant spray,None,15006.0
Irritant spray - drawn,Total England and Wales,Other equipment,Irritant spray: drawn,None,6427.0
Irritant spray - used,Total England and Wales,Other equipment,Irritant spray: used,None,8193.0
Not stated irritant spray,Total England and Wales,Other equipment,Irritant spray: not stated,None,386.0
Spit and bite guard,Total England and Wales,Other equipment,Spit and bite guard,None,3892.0
Shield,Total England and Wales,Other equipment,Shield,None,563.0
*Total Less lethal weapons,Total England and Wales,Less lethal weapons,Total: Less lethal weapons,None,18324.0
CED,Total England and Wales,Less lethal weapons,CED,None,17706.0
"AEP, of which",Total England and Wales,Less lethal weapons,Total: AEP,None,618.0
AEP aimed,Total England and Wales,Less lethal weapons,AEP: Aimed,None,550.0
AEP fired,Total England and Wales,Less lethal weapons,AEP: Fired,None,25.0
Not stated AEP,Total England and Wales,Less lethal weapons,AEP: Not stated,None,43.0
*Total Firearms,Total England and Wales,Firearms,Total: Firearms,None,4169.0
*Total Other,Total England and Wales,Other,Total: Other,None,22983.0
"Dog use, of which",Total England and Wales,Other,Total: Dog,None,2167.0
Dog deployed,Total England and Wales,Other,Dog: deployed,None,1499.0
Dog bite,Total England and Wales,Other,Dog: bite,None,602.0
Not stated dog,Total England and Wales,Other,Dog: not stated,None,66.0
Other / improvised,Total England and Wales,Other,Other / improvised,None,20816.0
*Total Not reported,Total England and Wales,Not reported,Total: Not reported,None,1354.0
Tactical communication,Total England and Wales,Excluded: Tactical Communication,Tactical Communication,None,169350.0
*Total Tactics,Avon & Somerset,Total,Total: all,None,13135.0
*Total Restraint,Avon & Somerset,Restraint,Total: Restraint,None,8197.0
"Handcuffing, of which",Avon & Somerset,Restraint,Total: Handcuffing,None,6018.0
Compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: compliant,None,3434.0
Non-compliant handcuffing,Avon & Somerset,Restraint,Handcuffing: non-compliant,None,2584.0
Not stated handcuffing,Avon & Somerset,Restraint,Handcuffing: not stated,None,0.0
Limb / Body restraints,Avon & Somerset,Restraint,Limb / body restraints,None,354.0
Ground restraint,Avon & Somerset,Restraint,Ground restraint,None,1825.0
*Total Unarmed skills,Avon & Somerset,Unarmed skills,Total: unarmed skills,None,2779.0
*Total Other equipment,Avon & Somerset,Other equipment,Total: Other equipment,None,1137.0
"Baton, of which",Avon & Somerset,Other equipment,Total: Baton,None,75.0
Baton drawn,Avon & Somerset,Other equipment,Baton: drawn,None,47.0
Baton used,Avon & Somerset,Other equipment,Baton: used,None,28.0
Not stated baton,Avon & Somerset,Other equipment,Baton: not stated,None,0.0
"Irritant spray, of which",Avon & Somerset,Other equipment,Total: Irritant spray,None,818.0
Irritant spray - drawn,Avon & Somerset,Other equipment,Irritant spray: drawn,None,441.0
Irritant spray - used,Avon & Somerset,Other equipment,Irritant spray: used,None,377.0
Not stated irritant spray,Avon & Somerset,Other equipment,Irritant spray: not stated,None,0.0
Spit and bite guard,Avon & Somerset,Other equipment,Spit and bite guard,None,223.0
Shield,Avon & Somerset,Other equipment,Shield,None,21.0
*Total Less lethal weapons,Avon & Somerset,Less lethal weapons,Total: Less lethal weapons,None,676.0
CED,Avon & Somerset,Less lethal weapons,CED,None,623.0
"AEP, of which",Avon & Somerset,Less lethal weapons,Total: AEP,None,53.0
AEP aimed,Avon & Somerset,Less lethal weapons,AEP: Aimed,None,49.0
AEP fired,Avon & Somerset,Less lethal weapons,AEP: Fired,None,4.0
Not stated AEP,Avon & Somerset,Less lethal weapons,AEP: Not stated,None,0.0
*Total Firearms,Avon & Somerset,Firearms,Total: Firearms,None,74.0
*Total Other,Avon & Somerset,Other,Total: Other,None,272.0
"Dog use, of which",Avon & Somerset,Other,Total: Dog,None,23.0
Dog deployed,Avon & Somerset,Other,Dog: deployed,None,20.0
Dog bite,Avon & Somerset,Other,Dog: bite,None,3.0
Not stated dog,Avon & Somerset,Other,Dog: not stated,None,0.0
Other / improvised,Avon & Somerset,Other,Other / improvised,None,249.0
*Total Not reported,Avon & Somerset,Not reported,Total: Not reported,None,0.0
Tactical communication,Avon & Somerset,Excluded: Tactical Communication,Tactical Communication,None,6859.0
*Total Tactics,Bedfordshire,Total,Total: all,None,4293.0
*Total Restraint,Bedfordshire,Restraint,Total: Restraint,None,2533.0
"Handcuffing, of which",Bedfordshire,Restraint,Total: Handcuffing,None,1792.0
Compliant handcuffing,Bedfordshire,Restraint,Handcuffing: compliant,None,1048.0
Non-compliant handcuffing,Bedfordshire,Restraint,Handcuffing: non-compliant,None,744.0
Not stated handcuffing,Bedfordshire,Restraint,Handcuffing: not stated,None,0.0
Limb / Body restraints,Bedfordshire,Restraint,Limb / body restraints,None,279.0
Ground restraint,Bedfordshire,Restraint,Ground restraint,None,462.0
*Total Unarmed skills,Bedfordshire,Unarmed skills,Total: unarmed skills,None,1142.0
*Total Other equipment,Bedfordshire,Other equipment,Total: Other equipment,None,258.0
"Baton, of which",Bedfordshire,Other equipment,Total: Baton,None,51.0
Baton drawn,Bedfordshire,Other equipment,Baton: drawn,None,36.0
Baton used,Bedfordshire,Other equipment,Baton: used,None,15.0
Not stated baton,Bedfordshire,Other equipment,Baton: not stated,None,0.0
"Irritant spray, of which",Bedfordshire,Other equipment,Total: Irritant spray,None,151.0
Irritant spray - drawn,Bedfordshire,Other equipment,Irritant spray: drawn,None,91.0
Irritant spray - used,Bedfordshire,Other equipment,Irritant spray: used,None,60.0
Not stated irritant spray,Bedfordshire,Other equipment,Irritant spray: not stated,None,0.0
Spit and bite guard,Bedfordshire,Other equipment,Spit and bite guard,None,50.0
Shield,Bedfordshire,Other equipment,Shield,None,6.0
*Total Less lethal weapons,Bedfordshire,Less lethal weapons,Total: Less lethal weapons,None,210.0
CED,Bedfordshire,Less lethal weapons,CED,None,203.0
"AEP, of which",Bedfordshire,Less lethal weapons,Total: AEP,None,7.0
AEP aimed,Bedfordshire,Less lethal weapons,AEP: Aimed,None,5.0
AEP fired,Bedfordshire,Less lethal weapons,AEP: Fired,None,0.0
Not stated AEP,Bedfordshire,Less lethal weapons,AEP: Not stated,None,2.0
*Total Firearms,Bedfordshire,Firearms,Total: Firearms,None,24.0
*Total Other,Bedfordshire,Other,Total: Other,None,126.0
"Dog use, of which",Bedfordshire,Other,Total: Dog,None,15.0
Dog deployed,Bedfordshire,Other,Dog: deployed,None,8.0
Dog bite,Bedfordshire,Other,Dog: bite,None,7.0
Not stated dog,Bedfordshire,Other,Dog: not stated,None,0.0
Other / improvised,Bedfordshire,Other,Other / improvised,None,111.0
*Total Not reported,Bedfordshire,Not reported,Total: Not reported,None,18.0
Tactical communication,Bedfordshire,Excluded: Tactical Communication,Tactical Communication,None,2332.0
*Total Tactics,Cambridgeshire,Total,Total: all,None,5750.0
*Total Restraint,Cambridgeshire,Restraint,Total: Restraint,None,2996.0
"Handcuffing, of which",Cambridgeshire,Restraint,Total: Handcuffing,None,2174.0
Compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: compliant,None,1101.0
Non-compliant handcuffing,Cambridgeshire,Restraint,Handcuffing: non-compliant,None,1073.0
Not stated handcuffing,Cambridgeshire,Restraint,Handcuffing: not stated,None,0.0
Limb / Body restraints,Cambridgeshire,Restraint,Limb / body restraints,None,263.0
Ground restraint,Cambridgeshire,Restraint,Ground restraint,None,559.0
*Total Unarmed skills,Cambridgeshire,Unarmed skills,Total: unarmed skills,None,1703.0
*Total Other equipment,Cambridgeshire,Other equipment,Total: Other equipment,None,556.0
"Baton, of which",Cambridgeshire,Other equipment,Total: Baton,None,48.0
Baton drawn,Cambridgeshire,Other equipment,Baton: drawn,None,35.0
Baton used,Cambridgeshire,Other equipment,Baton: used,None,13.0
Not stated baton,Cambridgeshire,Other equipment,Baton: not stated,None,0.0
"Irritant spray, of which",Cambridgeshire,Other equipment,Total: Irritant spray,None,403.0
Irritant spray - drawn,Cambridgeshire,Other equipment,Irritant spray: drawn,None,252.0
Irritant spray - used,Cambridgeshire,Other equipment,Irritant spray: used,None,149.0
Not stated irritant spray,Cambridgeshire,Other equipment,Irritant spray: not stated,None,2.0
Spit and bite guard,Cambridgeshire,Other equipment,Spit and bite guard,None,88.0
Shield,Cambridgeshire,Other equipment,Shield,None,17.0
*Total Less lethal weapons,Cambridgeshire,Less lethal weapons,Total: Less lethal weapons,None,163.0
CED,Cambridgeshire,Less lethal weapons,CED,None,154.0
"AEP, of which",Cambridgeshire,Less lethal weapons,Total: AEP,None,9.0
AEP aimed,Cambridgeshire,Less lethal weapons,AEP: Aimed,None,4.0
AEP fired,Cambridgeshire,Less lethal weapons,AEP: Fired,None,0.0
Not stated AEP,Cambridgeshire,Less lethal weapons,AEP: Not stated,None,5.0
*Total Firearms,Cambridgeshire,Firearms,Total: Firearms,None,24.0
*Total Other,Cambridgeshire,Other,Total: Other,None,308.0
"Dog use, of which",Cambridgeshire,Other,Total: Dog,None,6.0
Dog deployed,Cambridgeshire,Other,Dog: deployed,None,5.0
Dog bite,Cambridgeshire,Other,Dog: bite,None,1.0
Not stated dog,Cambridgeshire,Other,Dog: not stated,None,0.0
Other / improvised,Cambridgeshire,Other,Other / improvised,None,302.0
*Total Not reported,Cambridgeshire,Not reported,Total: Not reported,None,20.0
Tactical communication,Cambridgeshire,Excluded: Tactical Communication,Tactical Communication,None,2962.0
*Total Tactics,Cheshire,Total,Total: all,None,10333.0
*Total Restraint,Cheshire,Restraint,Total: Restraint,None,7892.0
"Handcuffing, of which",Cheshire,Restraint,Total: Handcuffing,None,5414.0
Compliant handcuffing,Cheshire,Restraint,Handcuffing: compliant,None,3511.0
Non-compliant handcuffing,Cheshire,Restraint,Handcuffing: non-compliant,None,1903.0
Not stated handcuffing,Cheshire,Restraint,Handcuffing: not stated,None,0.0
Limb / Body restraints,Cheshire,Restraint,Limb / body restraints,None,285.0
Ground restraint,Cheshire,Restraint,Ground restraint,None,2193.0
*Total Unarmed skills,Cheshire,Unarmed skills,Total: unarmed skills,None,1265.0
*Total Other equipment,Cheshire,Other equipment,Total: Other equipment,None,829.0
"Baton, of which",Cheshire,Other equipment,Total: Baton,None,40.0
Baton drawn,Cheshire,Other equipment,Baton: drawn,None,25.0
Baton used,Cheshire,Other equipment,Baton: used,None,15.0
Not stated baton,Cheshire,Other equipment,Baton: not stated,None,0.0
"Irritant spray, of which",Cheshire,Other equipment,Total: Irritant spray,None,721.0
Irritant spray - drawn,Cheshire,Other equipment,Irritant spray: drawn,None,257.0
Irritant spray - used,Cheshire,Other equipment,Irritant spray: used,None,464.0
Not stated irritant spray,Cheshire,Other equipment,Irritant spray: not stated,None,0.0
Spit and bite guard,Cheshire,Other equipment,Spit and bite guard,None,67.0
Shield,Cheshire,Other equipment,Shield,None,1.0
*Total Less lethal weapons,Cheshire,Less lethal weapons,Total: Less lethal weapons,None,337.0
CED,Cheshire,Less lethal weapons,CED,None,337.0
"AEP, of which",Cheshire,Less lethal weapons,Total: AEP,None,0.0
AEP aimed,Cheshire,Less lethal weapons,AEP: Aimed,None,0.0
AEP fired,Cheshire,Less lethal weapons,AEP: Fired,None,0.0
Not stated AEP,Cheshire,Less lethal weapons,AEP: Not stated,None,0.0
*Total Firearms,Cheshire,Firearms,Total: Firearms,None,4.0
*Total Other,Cheshire,Other,Total: Other,None,6.0
"Dog use, of which",Cheshire,Other,Total: Dog,None,6.0
Dog deployed,Cheshire,Other,Dog: deployed,None,4.0
Dog bite,Cheshire,Other,Dog: bite,None,2.0
Not stated dog,Cheshire,Other,Dog: not stated,None,0.0
Other / improvised,Cheshire,Other,Other / improvised,None,0.0
*Total Not reported,Cheshire,Not reported,Total: Not reported,None,10.0
Tactical communication,Cheshire,Excluded: Tactical Communication,Tactical Communication,None,3744.0
*Total Tactics,City of London,Total,Total: all,None,2252.0
*Total Restraint,City of London,Restraint,Total: Restraint,None,1482.0
"Handcuffing, of which",City of London,Restraint,Total: Handcuffing,None,1377.0
Compliant handcuffing,City of London,Restraint,Handcuffing: compliant,None,687.0
Non-compliant handcuffing,City of London,Restraint,Handcuffing: non-compliant,None,690.0
